gst_id,order_id,payment_id,settlement_date,taxable_fee_amount,gst_rate,cgst_amount,sgst_amount,igst_amount,total_gst_amount
GST70001,ORD10001,PAY70001,2026-04-03,166.52,0.18,0.0,0.0,29.97,29.97
GST70002,ORD10002,PAY70002,2026-04-03,366.91,0.18,0.0,0.0,66.04,66.04
GST70003,ORD10003,PAY70003,2026-04-03,314.42,0.18,0.0,0.0,56.6,56.6
GST70005,ORD10005,PAY70005,2026-04-02,51.06,0.18,0.0,0.0,9.19,9.19
GST70006,ORD10006,PAY70006,2026-04-02,36.47,0.18,0.0,0.0,6.56,6.56
GST70007,ORD10007,PAY70007,2026-04-02,31.03,0.18,0.0,0.0,5.59,5.59
GST70008,ORD10008,PAY70008,2026-04-02,14.67,0.18,0.0,0.0,2.64,2.64
GST70009,ORD10009,PAY70009,2026-04-02,30.25,0.18,0.0,0.0,5.44,5.44
GST70010,ORD10010,PAY70010,2026-04-02,50.53,0.18,0.0,0.0,9.1,9.1
GST70011,ORD10011,PAY70011,2026-04-02,44.86,0.18,0.0,0.0,8.07,8.07
GST70012,ORD10012,PAY70012,2026-04-03,153.97,0.18,13.86,13.86,0.0,27.71
GST70013,ORD10013,PAY70013,2026-04-03,232.73,0.18,0.0,0.0,41.89,41.89
GST70014,ORD10014,PAY70014,2026-04-03,100.68,0.18,0.0,0.0,18.12,18.12
GST70015,ORD10015,PAY70015,2026-04-04,120.73,0.18,10.87,10.87,0.0,21.73
GST70016,ORD10016,PAY70016,2026-04-04,216.4,0.18,19.48,19.48,0.0,38.95
GST70017,ORD10017,PAY70017,2026-04-04,46.15,0.18,0.0,0.0,8.31,8.31
GST70018,ORD10018,PAY70018,2026-04-04,56.97,0.18,0.0,0.0,10.25,10.25
GST70019,ORD10019,PAY70019,2026-04-04,135.81,0.18,12.22,12.22,0.0,24.45
GST70020,ORD10020,PAY70020,2026-04-02,80.02,0.18,0.0,0.0,14.4,14.4
GST70021,ORD10021,PAY70021,2026-04-02,63.54,0.18,0.0,0.0,11.44,11.44
GST70023,ORD10023,PAY70023,2026-04-02,87.77,0.18,0.0,0.0,15.8,15.8
GST70024,ORD10024,PAY70024,2026-04-02,62.58,0.18,0.0,0.0,11.26,11.26
GST70025,ORD10025,PAY70025,2026-04-02,85.28,0.18,0.0,0.0,15.35,15.35
GST70026,ORD10026,PAY70026,2026-04-02,6.94,0.18,0.0,0.0,1.25,1.25
GST70027,ORD10027,PAY70027,2026-04-02,80.44,0.18,0.0,0.0,14.48,14.48
GST70028,ORD10028,PAY70028,2026-04-02,85.03,0.18,7.66,7.66,0.0,15.31
GST70029,ORD10029,PAY70029,2026-04-04,326.96,0.18,0.0,0.0,58.85,58.85
GST70030,ORD10030,PAY70030,2026-04-04,368.52,0.18,0.0,0.0,66.33,66.33
GST70032,ORD10032,PAY70032,2026-04-04,219.88,0.18,0.0,0.0,39.58,39.58
GST70034,ORD10034,PAY70034,2026-04-03,149.69,0.18,0.0,0.0,26.94,26.94
GST70035,ORD10035,PAY70035,2026-04-03,59.26,0.18,0.0,0.0,10.67,10.67
GST70036,ORD10036,PAY70036,2026-04-03,183.86,0.18,0.0,0.0,33.09,33.09
GST70037,ORD10037,PAY70037,2026-04-03,17.13,0.18,1.54,1.54,0.0,3.08
GST70038,ORD10038,PAY70038,2026-04-03,75.17,0.18,0.0,0.0,13.53,13.53
GST70039,ORD10039,PAY70039,2026-04-03,126.15,0.18,11.36,11.36,0.0,22.71
GST70040,ORD10040,PAY70040,2026-04-03,151.15,0.18,0.0,0.0,27.21,27.21
GST70041,ORD10041,PAY70041,2026-04-03,82.73,0.18,0.0,0.0,14.89,14.89
GST70042,ORD10042,PAY70042,2026-04-03,187.39,0.18,0.0,0.0,33.73,33.73
GST70043,ORD10043,PAY70043,2026-04-03,112.25,0.18,10.1,10.1,0.0,20.2
GST70044,ORD10044,PAY70044,2026-04-03,135.33,0.18,0.0,0.0,24.36,24.36
GST70045,ORD10045,PAY70045,2026-04-03,164.1,0.18,0.0,0.0,29.54,29.54
GST70046,ORD10046,PAY70046,2026-04-03,144.94,0.18,0.0,0.0,26.09,26.09
GST70047,ORD10047,PAY70047,2026-04-04,395.5,0.18,0.0,0.0,71.19,71.19
GST70048,ORD10048,PAY70048,2026-04-04,196.97,0.18,17.73,17.73,0.0,35.45
GST70049,ORD10049,PAY70049,2026-04-04,227.1,0.18,0.0,0.0,40.88,40.88
GST70050,ORD10050,PAY70050,2026-04-04,498.0,0.18,0.0,0.0,89.64,89.64
GST70051,ORD10051,PAY70051,2026-04-04,99.6,0.18,0.0,0.0,17.93,17.93
GST70052,ORD10052,PAY70052,2026-04-04,128.94,0.18,0.0,0.0,23.21,23.21
GST70053,ORD10053,PAY70053,2026-04-04,413.75,0.18,37.23,37.23,0.0,74.47
GST70054,ORD10054,PAY70054,2026-04-03,43.51,0.18,3.92,3.92,0.0,7.83
GST70055,ORD10055,PAY70055,2026-04-03,36.23,0.18,0.0,0.0,6.52,6.52
GST70056,ORD10056,PAY70056,2026-04-03,69.02,0.18,0.0,0.0,12.42,12.42
GST70058,ORD10058,PAY70058,2026-04-04,150.45,0.18,0.0,0.0,27.08,27.08
GST70059,ORD10059,PAY70059,2026-04-04,60.78,0.18,0.0,0.0,10.94,10.94
GST70060,ORD10060,PAY70060,2026-04-04,157.3,0.18,0.0,0.0,28.31,28.31
GST70061,ORD10061,PAY70061,2026-04-04,92.98,0.18,0.0,0.0,16.74,16.74
GST70062,ORD10062,PAY70062,2026-04-04,110.84,0.18,0.0,0.0,19.95,19.95
GST70063,ORD10063,PAY70063,2026-04-04,179.56,0.18,0.0,0.0,32.32,32.32
GST70064,ORD10064,PAY70064,2026-04-04,242.87,0.18,0.0,0.0,43.72,43.72
GST70065,ORD10065,PAY70065,2026-04-04,156.66,0.18,0.0,0.0,28.2,28.2
GST70068,ORD10068,PAY70068,2026-04-05,261.09,0.18,0.0,0.0,47.0,47.0
GST70070,ORD10070,PAY70070,2026-04-05,58.46,0.18,0.0,0.0,10.52,10.52
GST70071,ORD10071,PAY70071,2026-04-03,65.01,0.18,5.85,5.85,0.0,11.7
GST70072,ORD10072,PAY70072,2026-04-03,79.51,0.18,0.0,0.0,14.31,14.31
GST70073,ORD10073,PAY70073,2026-04-03,67.38,0.18,0.0,0.0,12.13,12.13
GST70074,ORD10074,PAY70074,2026-04-03,108.92,0.18,0.0,0.0,19.61,19.61
GST70075,ORD10075,PAY70075,2026-04-03,70.27,0.18,0.0,0.0,12.65,12.65
GST70076,ORD10076,PAY70076,2026-04-03,44.63,0.18,0.0,0.0,8.03,8.03
GST70077,ORD10077,PAY70077,2026-04-03,43.3,0.18,0.0,0.0,7.79,7.79
GST70078,ORD10078,PAY70078,2026-04-05,359.71,0.18,0.0,0.0,64.75,64.75
GST70079,ORD10079,PAY70079,2026-04-05,571.47,0.18,0.0,0.0,102.86,102.86
GST70080,ORD10080,PAY70080,2026-04-05,231.65,0.18,0.0,0.0,41.7,41.7
GST70082,ORD10082,PAY70082,2026-04-05,229.16,0.18,0.0,0.0,41.25,41.25
GST70083,ORD10083,PAY70083,2026-04-05,306.2,0.18,0.0,0.0,55.12,55.12
GST70084,ORD10084,PAY70084,2026-04-04,61.91,0.18,0.0,0.0,11.14,11.14
GST70085,ORD10085,PAY70085,2026-04-04,34.81,0.18,0.0,0.0,6.27,6.27
GST70086,ORD10086,PAY70086,2026-04-04,205.43,0.18,0.0,0.0,36.98,36.98
GST70087,ORD10087,PAY70087,2026-04-04,262.71,0.18,0.0,0.0,47.29,47.29
GST70088,ORD10088,PAY70088,2026-04-04,125.84,0.18,0.0,0.0,22.65,22.65
GST70089,ORD10089,PAY70089,2026-04-04,149.29,0.18,0.0,0.0,26.87,26.87
GST70090,ORD10090,PAY70090,2026-04-04,74.85,0.18,0.0,0.0,13.47,13.47
GST70092,ORD10092,PAY70092,2026-04-04,30.26,0.18,0.0,0.0,5.45,5.45
GST70093,ORD10093,PAY70093,2026-04-04,134.91,0.18,0.0,0.0,24.28,24.28
GST70094,ORD10094,PAY70094,2026-04-04,141.44,0.18,0.0,0.0,25.46,25.46
GST70095,ORD10095,PAY70095,2026-04-04,122.18,0.18,0.0,0.0,21.99,21.99
GST70096,ORD10096,PAY70096,2026-04-05,337.72,0.18,0.0,0.0,60.79,60.79
GST70097,ORD10097,PAY70097,2026-04-05,303.8,0.18,0.0,0.0,54.68,54.68
GST70098,ORD10098,PAY70098,2026-04-05,404.74,0.18,0.0,0.0,72.85,72.85
GST70099,ORD10099,PAY70099,2026-04-05,72.31,0.18,0.0,0.0,13.02,13.02
GST70100,ORD10100,PAY70100,2026-04-05,559.07,0.18,0.0,0.0,100.63,100.63
GST70103,ORD10103,PAY70103,2026-04-05,362.23,0.18,32.6,32.6,0.0,65.2
GST70104,ORD10104,PAY70104,2026-04-04,11.15,0.18,0.0,0.0,2.01,2.01
GST70105,ORD10105,PAY70105,2026-04-04,37.53,0.18,3.38,3.38,0.0,6.76
GST70106,ORD10106,PAY70106,2026-04-04,34.53,0.18,0.0,0.0,6.22,6.22
GST70107,ORD10107,PAY70107,2026-04-04,50.61,0.18,0.0,0.0,9.11,9.11
GST70108,ORD10108,PAY70108,2026-04-04,40.91,0.18,3.68,3.68,0.0,7.36
GST70109,ORD10109,PAY70109,2026-04-05,108.06,0.18,0.0,0.0,19.45,19.45
GST70110,ORD10110,PAY70110,2026-04-05,25.59,0.18,0.0,0.0,4.61,4.61
GST70111,ORD10111,PAY70111,2026-04-05,135.2,0.18,0.0,0.0,24.34,24.34
GST70112,ORD10112,PAY70112,2026-04-05,51.5,0.18,0.0,0.0,9.27,9.27
GST70113,ORD10113,PAY70113,2026-04-05,203.0,0.18,0.0,0.0,36.54,36.54
GST70116,ORD10116,PAY70116,2026-04-06,116.37,0.18,0.0,0.0,20.95,20.95
GST70117,ORD10117,PAY70117,2026-04-06,148.57,0.18,0.0,0.0,26.74,26.74
GST70118,ORD10118,PAY70118,2026-04-06,327.77,0.18,0.0,0.0,59.0,59.0
GST70119,ORD10119,PAY70119,2026-04-06,400.51,0.18,0.0,0.0,72.09,72.09
GST70120,ORD10120,PAY70120,2026-04-04,65.84,0.18,0.0,0.0,11.85,11.85
GST70121,ORD10121,PAY70121,2026-04-04,126.86,0.18,0.0,0.0,22.83,22.83
GST70122,ORD10122,PAY70122,2026-04-04,100.83,0.18,0.0,0.0,18.15,18.15
GST70123,ORD10123,PAY70123,2026-04-04,68.76,0.18,0.0,0.0,12.38,12.38
GST70124,ORD10124,PAY70124,2026-04-04,45.22,0.18,0.0,0.0,8.14,8.14
GST70125,ORD10125,PAY70125,2026-04-04,26.47,0.18,0.0,0.0,4.76,4.76
GST70126,ORD10126,PAY70126,2026-04-04,16.71,0.18,1.5,1.5,0.0,3.01
GST70127,ORD10127,PAY70127,2026-04-04,6.79,0.18,0.0,0.0,1.22,1.22
GST70128,ORD10128,PAY70128,2026-04-04,59.69,0.18,0.0,0.0,10.74,10.74
GST70129,ORD10129,PAY70129,2026-04-06,425.44,0.18,0.0,0.0,76.58,76.58
GST70130,ORD10130,PAY70130,2026-04-06,232.0,0.18,0.0,0.0,41.76,41.76
GST70131,ORD10131,PAY70131,2026-04-06,249.18,0.18,0.0,0.0,44.85,44.85
GST70132,ORD10132,PAY70132,2026-04-05,62.1,0.18,0.0,0.0,11.18,11.18
GST70133,ORD10133,PAY70133,2026-04-05,124.43,0.18,11.2,11.2,0.0,22.4
GST70134,ORD10134,PAY70134,2026-04-05,33.45,0.18,0.0,0.0,6.02,6.02
GST70135,ORD10135,PAY70135,2026-04-05,115.39,0.18,0.0,0.0,20.77,20.77
GST70136,ORD10136,PAY70136,2026-04-05,172.21,0.18,0.0,0.0,31.0,31.0
GST70137,ORD10137,PAY70137,2026-04-05,201.26,0.18,0.0,0.0,36.23,36.23
GST70138,ORD10138,PAY70138,2026-04-05,74.22,0.18,0.0,0.0,13.36,13.36
GST70139,ORD10139,PAY70139,2026-04-05,177.12,0.18,15.94,15.94,0.0,31.88
GST70140,ORD10140,PAY70140,2026-04-05,231.88,0.18,0.0,0.0,41.74,41.74
GST70141,ORD10141,PAY70141,2026-04-05,155.26,0.18,0.0,0.0,27.95,27.95
GST70142,ORD10142,PAY70142,2026-04-05,50.75,0.18,0.0,0.0,9.13,9.13
GST70143,ORD10143,PAY70143,2026-04-05,125.96,0.18,0.0,0.0,22.67,22.67
GST70144,ORD10144,PAY70144,2026-04-05,36.25,0.18,0.0,0.0,6.52,6.52
GST70145,ORD10145,PAY70145,2026-04-05,101.27,0.18,0.0,0.0,18.23,18.23
GST70146,ORD10146,PAY70146,2026-04-06,64.06,0.18,0.0,0.0,11.53,11.53
GST70147,ORD10147,PAY70147,2026-04-06,382.64,0.18,0.0,0.0,68.88,68.88
GST70148,ORD10148,PAY70148,2026-04-06,165.04,0.18,0.0,0.0,29.71,29.71
GST70149,ORD10149,PAY70149,2026-04-06,250.92,0.18,0.0,0.0,45.17,45.17
GST70151,ORD10151,PAY70151,2026-04-06,303.21,0.18,0.0,0.0,54.58,54.58
GST70152,ORD10152,PAY70152,2026-04-06,174.1,0.18,15.67,15.67,0.0,31.34
GST70153,ORD10153,PAY70153,2026-04-06,374.42,0.18,0.0,0.0,67.4,67.4
GST70154,ORD10154,PAY70154,2026-04-06,404.03,0.18,0.0,0.0,72.73,72.73
GST70155,ORD10155,PAY70155,2026-04-06,378.78,0.18,0.0,0.0,68.18,68.18
GST70156,ORD10156,PAY70156,2026-04-05,31.87,0.18,0.0,0.0,5.74,5.74
GST70157,ORD10157,PAY70157,2026-04-05,23.1,0.18,0.0,0.0,4.16,4.16
GST70158,ORD10158,PAY70158,2026-04-05,24.32,0.18,0.0,0.0,4.38,4.38
GST70159,ORD10159,PAY70159,2026-04-05,40.6,0.18,0.0,0.0,7.31,7.31
GST70160,ORD10160,PAY70160,2026-04-05,71.91,0.18,0.0,0.0,12.94,12.94
GST70161,ORD10161,PAY70161,2026-04-05,24.24,0.18,0.0,0.0,4.36,4.36
GST70162,ORD10162,PAY70162,2026-04-05,17.73,0.18,0.0,0.0,3.19,3.19
GST70163,ORD10163,PAY70163,2026-04-05,44.55,0.18,0.0,0.0,8.02,8.02
GST70164,ORD10164,PAY70164,2026-04-06,37.78,0.18,0.0,0.0,6.8,6.8
GST70165,ORD10165,PAY70165,2026-04-06,193.31,0.18,0.0,0.0,34.8,34.8
GST70166,ORD10166,PAY70166,2026-04-06,26.12,0.18,0.0,0.0,4.7,4.7
GST70169,ORD10169,PAY70169,2026-04-06,127.35,0.18,0.0,0.0,22.92,22.92
GST70170,ORD10170,PAY70170,2026-04-06,182.68,0.18,0.0,0.0,32.88,32.88
GST70171,ORD10171,PAY70171,2026-04-06,129.58,0.18,0.0,0.0,23.32,23.32
GST70172,ORD10172,PAY70172,2026-04-06,63.19,0.18,0.0,0.0,11.37,11.37
GST70173,ORD10173,PAY70173,2026-04-07,165.33,0.18,0.0,0.0,29.76,29.76
GST70174,ORD10174,PAY70174,2026-04-07,158.58,0.18,0.0,0.0,28.54,28.54
GST70175,ORD10175,PAY70175,2026-04-07,197.02,0.18,17.73,17.73,0.0,35.46
GST70176,ORD10176,PAY70176,2026-04-07,81.75,0.18,0.0,0.0,14.71,14.71
GST70178,ORD10178,PAY70178,2026-04-07,296.31,0.18,0.0,0.0,53.34,53.34
GST70179,ORD10179,PAY70179,2026-04-07,381.96,0.18,34.38,34.38,0.0,68.75
GST70180,ORD10180,PAY70180,2026-04-07,279.19,0.18,0.0,0.0,50.25,50.25
GST70181,ORD10181,PAY70181,2026-04-07,118.09,0.18,0.0,0.0,21.26,21.26
GST70182,ORD10182,PAY70182,2026-04-07,56.65,0.18,0.0,0.0,10.2,10.2
GST70183,ORD10183,PAY70183,2026-04-05,66.27,0.18,0.0,0.0,11.93,11.93
GST70185,ORD10185,PAY70185,2026-04-05,60.57,0.18,0.0,0.0,10.9,10.9
GST70186,ORD10186,PAY70186,2026-04-05,27.58,0.18,2.48,2.48,0.0,4.96
GST70187,ORD10187,PAY70187,2026-04-05,81.31,0.18,7.32,7.32,0.0,14.64
GST70188,ORD10188,PAY70188,2026-04-05,66.37,0.18,5.97,5.97,0.0,11.95
GST70191,ORD10191,PAY70191,2026-04-07,410.55,0.18,0.0,0.0,73.9,73.9
GST70193,ORD10193,PAY70193,2026-04-07,143.8,0.18,0.0,0.0,25.88,25.88
GST70194,ORD10194,PAY70194,2026-04-07,423.98,0.18,0.0,0.0,76.32,76.32
GST70195,ORD10195,PAY70195,2026-04-07,273.04,0.18,0.0,0.0,49.15,49.15
GST70196,ORD10196,PAY70196,2026-04-07,360.83,0.18,0.0,0.0,64.95,64.95
GST70197,ORD10197,PAY70197,2026-04-07,76.84,0.18,0.0,0.0,13.83,13.83
GST70198,ORD10198,PAY70198,2026-04-06,181.35,0.18,0.0,0.0,32.64,32.64
GST70199,ORD10199,PAY70199,2026-04-06,125.81,0.18,0.0,0.0,22.65,22.65
GST70200,ORD10200,PAY70200,2026-04-06,269.23,0.18,0.0,0.0,48.46,48.46
GST70201,ORD10201,PAY70201,2026-04-06,51.15,0.18,0.0,0.0,9.21,9.21
GST70202,ORD10202,PAY70202,2026-04-06,23.44,0.18,0.0,0.0,4.22,4.22
GST70203,ORD10203,PAY70203,2026-04-06,37.99,0.18,3.42,3.42,0.0,6.84
GST70204,ORD10204,PAY70204,2026-04-06,271.17,0.18,0.0,0.0,48.81,48.81
GST70205,ORD10205,PAY70205,2026-04-06,20.91,0.18,1.88,1.88,0.0,3.76
GST70206,ORD10206,PAY70206,2026-04-06,197.36,0.18,0.0,0.0,35.52,35.52
GST70207,ORD10207,PAY70207,2026-04-06,74.33,0.18,0.0,0.0,13.38,13.38
GST70208,ORD10208,PAY70208,2026-04-06,83.35,0.18,0.0,0.0,15.0,15.0
GST70209,ORD10209,PAY70209,2026-04-06,58.5,0.18,0.0,0.0,10.53,10.53
GST70210,ORD10210,PAY70210,2026-04-07,446.56,0.18,0.0,0.0,80.38,80.38
GST70211,ORD10211,PAY70211,2026-04-07,152.3,0.18,0.0,0.0,27.41,27.41
GST70212,ORD10212,PAY70212,2026-04-07,154.18,0.18,0.0,0.0,27.75,27.75
GST70213,ORD10213,PAY70213,2026-04-07,87.4,0.18,0.0,0.0,15.73,15.73
GST70214,ORD10214,PAY70214,2026-04-06,83.0,0.18,0.0,0.0,14.94,14.94
GST70215,ORD10215,PAY70215,2026-04-06,40.96,0.18,0.0,0.0,7.37,7.37
GST70216,ORD10216,PAY70216,2026-04-06,4.43,0.18,0.0,0.0,0.8,0.8
GST70217,ORD10217,PAY70217,2026-04-06,4.46,0.18,0.0,0.0,0.8,0.8
GST70218,ORD10218,PAY70218,2026-04-06,46.09,0.18,0.0,0.0,8.3,8.3
GST70219,ORD10219,PAY70219,2026-04-06,50.31,0.18,4.53,4.53,0.0,9.06
GST70220,ORD10220,PAY70220,2026-04-06,9.18,0.18,0.0,0.0,1.65,1.65
GST70221,ORD10221,PAY70221,2026-04-06,18.46,0.18,0.0,0.0,3.32,3.32
GST70222,ORD10222,PAY70222,2026-04-07,209.14,0.18,0.0,0.0,37.65,37.65
GST70223,ORD10223,PAY70223,2026-04-07,111.95,0.18,0.0,0.0,20.15,20.15
GST70226,ORD10226,PAY70226,2026-04-07,33.28,0.18,0.0,0.0,5.99,5.99
GST70227,ORD10227,PAY70227,2026-04-07,67.97,0.18,0.0,0.0,12.23,12.23
GST70228,ORD10228,PAY70228,2026-04-07,129.09,0.18,0.0,0.0,23.24,23.24
GST70229,ORD10229,PAY70229,2026-04-07,10.04,0.18,0.0,0.0,1.81,1.81
GST70230,ORD10230,PAY70230,2026-04-08,93.53,0.18,0.0,0.0,16.84,16.84
GST70231,ORD10231,PAY70231,2026-04-08,196.04,0.18,0.0,0.0,35.29,35.29
GST70232,ORD10232,PAY70232,2026-04-08,147.66,0.18,0.0,0.0,26.58,26.58
GST70233,ORD10233,PAY70233,2026-04-08,391.05,0.18,0.0,0.0,70.39,70.39
GST70234,ORD10234,PAY70234,2026-04-08,154.96,0.18,0.0,0.0,27.89,27.89
