merchant_id,settlement_date,merchant_name,category,settlement_tplus_days,gross_captured_amount,captured_transaction_count,refund_adjustment_amount,refund_count,chargeback_amount,chargeback_count,platform_fee,gateway_fee,gst_on_fees,failed_payment_count,failed_payment_amount,settlement_id,actual_settlement_amount,settlement_status,processor_adjustment_code,processor_note,payout_status,bank_reference,expected_settlement_amount,variance_amount,absolute_variance,exception_flag,exception_type,risk_priority,investigation_memo
M001,2026-04-16,Apex Electronics,Electronics,2,69868.81,9.0,0.0,0.0,0.0,0.0,1257.63,363.58,291.82,0.0,0.0,SET50014,0.0,Delayed,PAYOUT_DELAY,Payout delayed due to processor settlement hold.,Delayed,,67955.78,-67955.78,67955.78,True,Settlement Delay,High,"Apex Electronics was short-settled on 2026-04-16. Expected INR 67,955.78, actual INR 0.00, variance INR -67,955.78. Likely reason: Settlement Delay. Processor note: Payout delayed due to processor settlement hold. Suggested action: Check processor SLA, payout UTR, bank return file, and whether the amount is held for risk review."
M003,2026-04-17,UrbanStyle Apparel,Apparel,2,34751.5,6.0,0.0,0.0,0.0,0.0,695.04,247.73,169.7,0.0,0.0,SET50090,0.0,Delayed,PAYOUT_DELAY,Payout delayed due to processor settlement hold.,Delayed,,33639.03,-33639.03,33639.03,True,Settlement Delay,High,"UrbanStyle Apparel was short-settled on 2026-04-17. Expected INR 33,639.03, actual INR 0.00, variance INR -33,639.03. Likely reason: Settlement Delay. Processor note: Payout delayed due to processor settlement hold. Suggested action: Check processor SLA, payout UTR, bank return file, and whether the amount is held for risk review."
M006,2026-05-04,TravelNest,Travel,3,42351.49,3.0,0.0,0.0,0.0,0.0,931.73,334.06,227.85,1.0,9902.82,SET50223,38057.83,Settled,CHARGEBACK_ADJ,Chargeback debit applied after dispute update from issuing bank.,Paid,UTR104562921548,40857.85,-2800.02,2800.02,True,Chargeback,Low,"TravelNest was short-settled on 2026-05-04. Expected INR 40,857.85, actual INR 38,057.83, variance INR -2,800.02. Likely reason: Chargeback. Processor note: Chargeback debit applied after dispute update from issuing bank. Suggested action: Validate dispute reference, issuing bank update, and whether the chargeback was already booked internally."
M004,2026-04-24,SkillBridge Learning,EdTech,3,96392.23,9.0,0.0,0.0,0.0,0.0,1542.28,710.58,405.52,0.0,0.0,SET50134,90999.72,Settled,CAPTURE_REVERSAL,One captured transaction was reversed by gateway before payout.,Paid,UTR598606477055,93733.85,-2734.13,2734.13,True,Failed Capture,Low,"SkillBridge Learning was short-settled on 2026-04-24. Expected INR 93,733.85, actual INR 90,999.72, variance INR -2,734.13. Likely reason: Failed Capture. Processor note: One captured transaction was reversed by gateway before payout. Suggested action: Verify gateway capture logs and confirm whether the order was reversed before payout."
M003,2026-04-18,UrbanStyle Apparel,Apparel,2,44999.4,9.0,0.0,0.0,0.0,0.0,899.99,243.87,205.9,0.0,0.0,SET50091,42058.83,Settled,REFUND_ADJ,Processor deducted a late refund adjustment not present in the internal refund file cutoff.,Paid,UTR895206244295,43649.64,-1590.81,1590.81,True,Refund Adjustment,Low,"UrbanStyle Apparel was short-settled on 2026-04-18. Expected INR 43,649.64, actual INR 42,058.83, variance INR -1,590.81. Likely reason: Refund Adjustment. Processor note: Processor deducted a late refund adjustment not present in the internal refund file cutoff. Suggested action: Match refund ID, order ID, refund posting date, and processor cutoff timing."
M006,2026-04-27,TravelNest,Travel,3,75470.99,9.0,0.0,0.0,0.0,0.0,1660.36,366.21,364.77,0.0,0.0,SET50216,74545.53,Settled,PRIOR_RELEASE,Prior held settlement released in the current payout cycle.,Paid,UTR409721979753,73079.65,1465.88,1465.88,True,Excess Settlement,Low,"TravelNest was over-settled on 2026-04-27. Expected INR 73,079.65, actual INR 74,545.53, variance INR 1,465.88. Likely reason: Excess Settlement. Processor note: Prior held settlement released in the current payout cycle. Suggested action: Check whether a previous hold or delayed payout was released in this cycle."
M008,2026-04-17,FinEdge SaaS,SaaS,2,16445.38,4.0,0.0,0.0,0.0,0.0,246.68,32.9,50.33,1.0,6112.08,SET50282,15135.79,Settled,CHARGEBACK_ADJ,Chargeback debit applied after dispute update from issuing bank.,Paid,UTR833902253367,16115.47,-979.68,979.68,True,Chargeback,Low,"FinEdge SaaS was short-settled on 2026-04-17. Expected INR 16,115.47, actual INR 15,135.79, variance INR -979.68. Likely reason: Chargeback. Processor note: Chargeback debit applied after dispute update from issuing bank. Suggested action: Validate dispute reference, issuing bank update, and whether the chargeback was already booked internally."
M008,2026-04-07,FinEdge SaaS,SaaS,2,21382.76,6.0,0.0,0.0,0.0,0.0,320.74,199.35,93.62,0.0,0.0,SET50272,19857.34,Settled,REFUND_ADJ,Processor deducted a late refund adjustment not present in the internal refund file cutoff.,Paid,UTR904871150347,20769.05,-911.71,911.71,True,Refund Adjustment,Low,"FinEdge SaaS was short-settled on 2026-04-07. Expected INR 20,769.05, actual INR 19,857.34, variance INR -911.71. Likely reason: Refund Adjustment. Processor note: Processor deducted a late refund adjustment not present in the internal refund file cutoff. Suggested action: Match refund ID, order ID, refund posting date, and processor cutoff timing."
M008,2026-04-26,FinEdge SaaS,SaaS,2,33695.96,5.0,0.0,0.0,0.0,0.0,505.44,246.26,135.31,1.0,1687.92,SET50291,32511.04,Settled,FEE_REVISION,Additional gateway fee and pricing revision applied by the processor.,Paid,UTR419491461266,32808.95,-297.91,297.91,True,Fee Deduction,Low,"FinEdge SaaS was short-settled on 2026-04-26. Expected INR 32,808.95, actual INR 32,511.04, variance INR -297.91. Likely reason: Fee Deduction. Processor note: Additional gateway fee and pricing revision applied by the processor. Suggested action: Compare processor fee slab, gateway MDR, platform fee, and GST invoice against internal pricing rules."
M008,2026-04-23,FinEdge SaaS,SaaS,2,32632.01,10.0,7380.68,1.0,0.0,0.0,489.49,207.62,125.5,0.0,0.0,SET50288,24178.72,Settled,FEE_REVISION,Additional gateway fee and pricing revision applied by the processor.,Paid,UTR843226585424,24428.72,-250.0,250.0,True,Fee Deduction,Low,"FinEdge SaaS was short-settled on 2026-04-23. Expected INR 24,428.72, actual INR 24,178.72, variance INR -250.00. Likely reason: Fee Deduction. Processor note: Additional gateway fee and pricing revision applied by the processor. Suggested action: Compare processor fee slab, gateway MDR, platform fee, and GST invoice against internal pricing rules."
M004,2026-04-09,SkillBridge Learning,EdTech,3,81061.28,10.0,0.0,0.0,0.0,0.0,1296.97,487.41,321.19,0.0,0.0,SET50119,78755.21,Settled,GST_DIFF,GST on processing fee differs from internal tax calculation.,Paid,UTR275057609841,78955.71,-200.5,200.5,True,GST / Tax Difference,Low,"SkillBridge Learning was short-settled on 2026-04-09. Expected INR 78,955.71, actual INR 78,755.21, variance INR -200.50. Likely reason: GST / Tax Difference. Processor note: GST on processing fee differs from internal tax calculation. Suggested action: Recalculate GST on processing fees and compare with tax invoice or processor GST statement."
M002,2026-04-26,FreshBasket Foods,Grocery,1,22008.01,9.0,0.0,0.0,0.0,0.0,308.1,89.94,71.66,0.0,0.0,SET50062,21418.31,Settled,GST_DIFF,GST on processing fee differs from internal tax calculation.,Paid,UTR187795056134,21538.31,-120.0,120.0,True,GST / Tax Difference,Low,"FreshBasket Foods was short-settled on 2026-04-26. Expected INR 21,538.31, actual INR 21,418.31, variance INR -120.00. Likely reason: GST / Tax Difference. Processor note: GST on processing fee differs from internal tax calculation. Suggested action: Recalculate GST on processing fees and compare with tax invoice or processor GST statement."
M006,2026-05-14,TravelNest,Travel,3,0.0,0.0,2765.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SET50229,-2767.36,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR858290008373,-2765.37,-1.99,1.99,False,Matched,Normal,"TravelNest settlement for 2026-05-14 matched within tolerance. Expected INR -2,765.37 and received INR -2,767.36."
M002,2026-04-22,FreshBasket Foods,Grocery,1,8219.34,4.0,0.0,0.0,0.0,0.0,115.07,24.34,25.09,0.0,0.0,SET50058,8056.8,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR464461909391,8054.84,1.96,1.96,False,Matched,Normal,"FreshBasket Foods settlement for 2026-04-22 matched within tolerance. Expected INR 8,054.84 and received INR 8,056.80."
M006,2026-04-16,TravelNest,Travel,3,76102.07,7.0,0.0,0.0,0.0,0.0,1674.25,275.74,351.0,1.0,15231.16,SET50205,73803.04,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR102893602501,73801.08,1.96,1.96,False,Matched,Normal,"TravelNest settlement for 2026-04-16 matched within tolerance. Expected INR 73,801.08 and received INR 73,803.04."
M002,2026-05-03,FreshBasket Foods,Grocery,1,9458.55,5.0,1164.81,1.0,0.0,0.0,132.42,46.69,32.24,2.0,5662.200000000001,SET50069,8084.34,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR420465039956,8082.39,1.95,1.95,False,Matched,Normal,"FreshBasket Foods settlement for 2026-05-03 matched within tolerance. Expected INR 8,082.39 and received INR 8,084.34."
M001,2026-04-05,Apex Electronics,Electronics,2,89126.64,6.0,0.0,0.0,0.0,0.0,1604.28,435.59,367.17,2.0,4711.47,SET50003,86721.53,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR280183687958,86719.6,1.93,1.93,False,Matched,Normal,"Apex Electronics settlement for 2026-04-05 matched within tolerance. Expected INR 86,719.60 and received INR 86,721.53."
M003,2026-04-06,UrbanStyle Apparel,Apparel,2,29749.24,7.0,2762.73,1.0,0.0,0.0,595.0,165.01,136.79,2.0,10518.32,SET50079,26087.78,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR345440648406,26089.71,-1.93,1.93,False,Matched,Normal,"UrbanStyle Apparel settlement for 2026-04-06 matched within tolerance. Expected INR 26,089.71 and received INR 26,087.78."
M003,2026-05-05,UrbanStyle Apparel,Apparel,2,25663.77,4.0,5729.58,1.0,0.0,0.0,513.26,163.77,121.87,1.0,7402.51,SET50108,19133.36,Settled,MATCHED,Processor amount matches internal expectation.,Paid,UTR596770029392,19135.29,-1.93,1.93,False,Matched,Normal,"UrbanStyle Apparel settlement for 2026-05-05 matched within tolerance. Expected INR 19,135.29 and received INR 19,133.36."
