settlement_id,merchant_id,merchant_name,settlement_date,processor_gross_amount,processor_deduction_amount,actual_settlement_amount,settlement_status,processor_adjustment_code,processor_note
SET50001,M001,Apex Electronics,2026-04-03,34437.98,1000.46,33438.54,Settled,MATCHED,Processor amount matches internal expectation.
SET50002,M001,Apex Electronics,2026-04-04,89619.96,2312.63,87309.25,Settled,MATCHED,Processor amount matches internal expectation.
SET50003,M001,Apex Electronics,2026-04-05,89126.64,2407.04,86721.53,Settled,MATCHED,Processor amount matches internal expectation.
SET50004,M001,Apex Electronics,2026-04-06,115990.16,2946.72,113045.12,Settled,MATCHED,Processor amount matches internal expectation.
SET50005,M001,Apex Electronics,2026-04-07,35363.15,991.71,34372.46,Settled,MATCHED,Processor amount matches internal expectation.
SET50006,M001,Apex Electronics,2026-04-08,78296.16,11192.81,67103.59,Settled,MATCHED,Processor amount matches internal expectation.
SET50007,M001,Apex Electronics,2026-04-09,66680.53,1804.45,64876.74,Settled,MATCHED,Processor amount matches internal expectation.
SET50008,M001,Apex Electronics,2026-04-10,93858.67,3144.06,90716.44,Settled,MATCHED,Processor amount matches internal expectation.
SET50009,M001,Apex Electronics,2026-04-11,41012.22,5355.27,35656.95,Settled,MATCHED,Processor amount matches internal expectation.
SET50010,M001,Apex Electronics,2026-04-12,93841.81,9923.3,83919.13,Settled,MATCHED,Processor amount matches internal expectation.
SET50011,M001,Apex Electronics,2026-04-13,102414.82,2778.03,99637.95,Settled,MATCHED,Processor amount matches internal expectation.
SET50012,M001,Apex Electronics,2026-04-14,40588.62,1224.77,39363.85,Settled,MATCHED,Processor amount matches internal expectation.
SET50013,M001,Apex Electronics,2026-04-15,91159.26,2696.62,88462.64,Settled,MATCHED,Processor amount matches internal expectation.
SET50014,M001,Apex Electronics,2026-04-16,69868.81,69868.81,0.0,Delayed,PAYOUT_DELAY,Payout delayed due to processor settlement hold.
SET50015,M001,Apex Electronics,2026-04-17,27485.29,6288.58,21196.71,Settled,MATCHED,Processor amount matches internal expectation.
SET50016,M001,Apex Electronics,2026-04-18,30209.56,714.48,29495.08,Settled,MATCHED,Processor amount matches internal expectation.
SET50017,M001,Apex Electronics,2026-04-19,122450.49,3666.07,118785.97,Settled,MATCHED,Processor amount matches internal expectation.
SET50018,M001,Apex Electronics,2026-04-20,22304.19,6600.81,15703.38,Settled,MATCHED,Processor amount matches internal expectation.
SET50019,M001,Apex Electronics,2026-04-21,27448.87,12391.88,15057.02,Settled,MATCHED,Processor amount matches internal expectation.
SET50020,M001,Apex Electronics,2026-04-22,121349.85,3769.92,117579.93,Settled,MATCHED,Processor amount matches internal expectation.
SET50021,M001,Apex Electronics,2026-04-23,84302.13,2355.35,81946.78,Settled,MATCHED,Processor amount matches internal expectation.
SET50022,M001,Apex Electronics,2026-04-24,36882.39,1156.35,35727.2,Settled,MATCHED,Processor amount matches internal expectation.
SET50023,M001,Apex Electronics,2026-04-25,67207.88,2007.93,65199.95,Settled,MATCHED,Processor amount matches internal expectation.
SET50024,M001,Apex Electronics,2026-04-26,91143.5,12512.65,78632.6,Settled,MATCHED,Processor amount matches internal expectation.
SET50025,M001,Apex Electronics,2026-04-27,41546.61,22112.64,19433.97,Settled,MATCHED,Processor amount matches internal expectation.
SET50026,M001,Apex Electronics,2026-04-28,58699.5,1627.43,57072.33,Settled,MATCHED,Processor amount matches internal expectation.
SET50027,M001,Apex Electronics,2026-04-29,90426.28,30375.91,60050.37,Settled,MATCHED,Processor amount matches internal expectation.
SET50028,M001,Apex Electronics,2026-04-30,41475.74,1206.9,40268.84,Settled,MATCHED,Processor amount matches internal expectation.
SET50029,M001,Apex Electronics,2026-05-01,48693.42,1601.86,47091.56,Settled,MATCHED,Processor amount matches internal expectation.
SET50030,M001,Apex Electronics,2026-05-02,24010.81,19741.09,4269.72,Settled,MATCHED,Processor amount matches internal expectation.
SET50031,M001,Apex Electronics,2026-05-03,123182.28,10640.8,112542.72,Settled,MATCHED,Processor amount matches internal expectation.
SET50032,M001,Apex Electronics,2026-05-04,64945.51,1533.0,63412.51,Settled,MATCHED,Processor amount matches internal expectation.
SET50033,M001,Apex Electronics,2026-05-05,96112.62,6045.22,90067.4,Settled,MATCHED,Processor amount matches internal expectation.
SET50034,M001,Apex Electronics,2026-05-06,72415.33,25103.23,47313.02,Settled,MATCHED,Processor amount matches internal expectation.
SET50035,M001,Apex Electronics,2026-05-07,38406.65,957.43,37449.22,Settled,MATCHED,Processor amount matches internal expectation.
SET50036,M001,Apex Electronics,2026-05-10,0.0,8901.38,-8900.37,Settled,MATCHED,Processor amount matches internal expectation.
SET50037,M001,Apex Electronics,2026-05-13,0.0,7600.63,-7600.63,Settled,MATCHED,Processor amount matches internal expectation.
SET50038,M002,FreshBasket Foods,2026-04-02,14656.9,305.46,14351.71,Settled,MATCHED,Processor amount matches internal expectation.
SET50039,M002,FreshBasket Foods,2026-04-03,7015.26,176.87,6838.39,Settled,MATCHED,Processor amount matches internal expectation.
SET50040,M002,FreshBasket Foods,2026-04-04,8780.6,207.26,8573.34,Settled,MATCHED,Processor amount matches internal expectation.
SET50041,M002,FreshBasket Foods,2026-04-05,12245.73,328.42,11917.92,Settled,MATCHED,Processor amount matches internal expectation.
SET50042,M002,FreshBasket Foods,2026-04-06,12187.29,303.13,11884.47,Settled,MATCHED,Processor amount matches internal expectation.
SET50043,M002,FreshBasket Foods,2026-04-07,9356.34,915.12,8441.22,Settled,MATCHED,Processor amount matches internal expectation.
SET50044,M002,FreshBasket Foods,2026-04-08,5531.02,118.4,5414.36,Settled,MATCHED,Processor amount matches internal expectation.
