fee_id,order_id,payment_id,settlement_date,platform_fee,gateway_fee,total_fee_before_gst,gst_on_fees,total_fee_with_gst
FEE70001,ORD10001,PAY70001,2026-04-03,105.17,61.35,166.52,29.97,196.49
FEE70002,ORD10002,PAY70002,2026-04-03,231.73,135.18,366.91,66.04,432.95
FEE70003,ORD10003,PAY70003,2026-04-03,282.98,31.44,314.42,56.6,371.02
FEE70005,ORD10005,PAY70005,2026-04-02,29.18,21.88,51.06,9.19,60.25
FEE70006,ORD10006,PAY70006,2026-04-02,31.91,4.56,36.47,6.56,43.03
FEE70007,ORD10007,PAY70007,2026-04-02,27.15,3.88,31.03,5.59,36.62
FEE70008,ORD10008,PAY70008,2026-04-02,12.84,1.83,14.67,2.64,17.31
FEE70009,ORD10009,PAY70009,2026-04-02,20.66,9.59,30.25,5.44,35.69
FEE70010,ORD10010,PAY70010,2026-04-02,44.21,6.32,50.53,9.1,59.63
FEE70011,ORD10011,PAY70011,2026-04-02,39.25,5.61,44.86,8.07,52.93
FEE70012,ORD10012,PAY70012,2026-04-03,139.97,14.0,153.97,27.71,181.68
FEE70013,ORD10013,PAY70013,2026-04-03,152.61,80.12,232.73,41.89,274.62
FEE70014,ORD10014,PAY70014,2026-04-03,91.53,9.15,100.68,18.12,118.8
FEE70015,ORD10015,PAY70015,2026-04-04,82.2,38.53,120.73,21.73,142.46
FEE70016,ORD10016,PAY70016,2026-04-04,130.66,85.74,216.4,38.95,255.35
FEE70017,ORD10017,PAY70017,2026-04-04,27.86,18.29,46.15,8.31,54.46
FEE70018,ORD10018,PAY70018,2026-04-04,34.4,22.57,56.97,10.25,67.22
FEE70019,ORD10019,PAY70019,2026-04-04,120.72,15.09,135.81,24.45,160.26
FEE70020,ORD10020,PAY70020,2026-04-02,68.59,11.43,80.02,14.4,94.42
FEE70021,ORD10021,PAY70021,2026-04-02,39.1,24.44,63.54,11.44,74.98
FEE70023,ORD10023,PAY70023,2026-04-02,46.81,40.96,87.77,15.8,103.57
FEE70024,ORD10024,PAY70024,2026-04-02,53.64,8.94,62.58,11.26,73.84
FEE70025,ORD10025,PAY70025,2026-04-02,73.1,12.18,85.28,15.35,100.63
FEE70026,ORD10026,PAY70026,2026-04-02,3.7,3.24,6.94,1.25,8.19
FEE70027,ORD10027,PAY70027,2026-04-02,68.95,11.49,80.44,14.48,94.92
FEE70028,ORD10028,PAY70028,2026-04-02,72.88,12.15,85.03,15.31,100.34
FEE70029,ORD10029,PAY70029,2026-04-04,299.71,27.25,326.96,58.85,385.81
FEE70030,ORD10030,PAY70030,2026-04-04,337.81,30.71,368.52,66.33,434.85
FEE70032,ORD10032,PAY70032,2026-04-04,201.56,18.32,219.88,39.58,259.46
FEE70034,ORD10034,PAY70034,2026-04-03,133.93,15.76,149.69,26.94,176.63
FEE70035,ORD10035,PAY70035,2026-04-03,41.12,18.14,59.26,10.67,69.93
FEE70036,ORD10036,PAY70036,2026-04-03,164.51,19.35,183.86,33.09,216.95
FEE70037,ORD10037,PAY70037,2026-04-03,10.59,6.54,17.13,3.08,20.21
FEE70038,ORD10038,PAY70038,2026-04-03,46.47,28.7,75.17,13.53,88.7
FEE70039,ORD10039,PAY70039,2026-04-03,111.31,14.84,126.15,22.71,148.86
FEE70040,ORD10040,PAY70040,2026-04-03,105.45,45.7,151.15,27.21,178.36
FEE70041,ORD10041,PAY70041,2026-04-03,73.0,9.73,82.73,14.89,97.62
FEE70042,ORD10042,PAY70042,2026-04-03,124.93,62.46,187.39,33.73,221.12
FEE70043,ORD10043,PAY70043,2026-04-03,74.83,37.42,112.25,20.2,132.45
FEE70044,ORD10044,PAY70044,2026-04-03,119.41,15.92,135.33,24.36,159.69
FEE70045,ORD10045,PAY70045,2026-04-03,96.53,67.57,164.1,29.54,193.64
FEE70046,ORD10046,PAY70046,2026-04-03,127.89,17.05,144.94,26.09,171.03
FEE70047,ORD10047,PAY70047,2026-04-04,355.95,39.55,395.5,71.19,466.69
FEE70048,ORD10048,PAY70048,2026-04-04,177.27,19.7,196.97,35.45,232.42
FEE70049,ORD10049,PAY70049,2026-04-04,204.39,22.71,227.1,40.88,267.98
FEE70050,ORD10050,PAY70050,2026-04-04,365.88,132.12,498.0,89.64,587.64
FEE70051,ORD10051,PAY70051,2026-04-04,89.64,9.96,99.6,17.93,117.53
FEE70052,ORD10052,PAY70052,2026-04-04,116.05,12.89,128.94,23.21,152.15
FEE70053,ORD10053,PAY70053,2026-04-04,303.98,109.77,413.75,74.47,488.22
FEE70054,ORD10054,PAY70054,2026-04-03,38.07,5.44,43.51,7.83,51.34
FEE70055,ORD10055,PAY70055,2026-04-03,20.7,15.53,36.23,6.52,42.75
FEE70056,ORD10056,PAY70056,2026-04-03,39.44,29.58,69.02,12.42,81.44
FEE70058,ORD10058,PAY70058,2026-04-04,113.55,36.9,150.45,27.08,177.53
FEE70059,ORD10059,PAY70059,2026-04-04,55.25,5.53,60.78,10.94,71.72
FEE70060,ORD10060,PAY70060,2026-04-04,103.15,54.15,157.3,28.31,185.61
FEE70061,ORD10061,PAY70061,2026-04-04,84.53,8.45,92.98,16.74,109.72
FEE70062,ORD10062,PAY70062,2026-04-04,80.61,30.23,110.84,19.95,130.79
FEE70063,ORD10063,PAY70063,2026-04-04,135.52,44.04,179.56,32.32,211.88
FEE70064,ORD10064,PAY70064,2026-04-04,176.63,66.24,242.87,43.72,286.59
FEE70065,ORD10065,PAY70065,2026-04-04,102.73,53.93,156.66,28.2,184.86
FEE70068,ORD10068,PAY70068,2026-04-05,177.76,83.33,261.09,47.0,308.09
FEE70070,ORD10070,PAY70070,2026-04-05,51.96,6.5,58.46,10.52,68.98
FEE70071,ORD10071,PAY70071,2026-04-03,55.72,9.29,65.01,11.7,76.71
FEE70072,ORD10072,PAY70072,2026-04-03,51.57,27.94,79.51,14.31,93.82
FEE70073,ORD10073,PAY70073,2026-04-03,35.94,31.44,67.38,12.13,79.51
FEE70074,ORD10074,PAY70074,2026-04-03,58.09,50.83,108.92,19.61,128.53
FEE70075,ORD10075,PAY70075,2026-04-03,60.23,10.04,70.27,12.65,82.92
FEE70076,ORD10076,PAY70076,2026-04-03,38.25,6.38,44.63,8.03,52.66
FEE70077,ORD10077,PAY70077,2026-04-03,37.11,6.19,43.3,7.79,51.09
FEE70078,ORD10078,PAY70078,2026-04-05,268.26,91.45,359.71,64.75,424.46
FEE70079,ORD10079,PAY70079,2026-04-05,386.84,184.63,571.47,102.86,674.33
FEE70080,ORD10080,PAY70080,2026-04-05,212.35,19.3,231.65,41.7,273.35
FEE70082,ORD10082,PAY70082,2026-04-05,170.9,58.26,229.16,41.25,270.41
FEE70083,ORD10083,PAY70083,2026-04-05,207.27,98.93,306.2,55.12,361.32
FEE70084,ORD10084,PAY70084,2026-04-04,42.96,18.95,61.91,11.14,73.05
FEE70085,ORD10085,PAY70085,2026-04-04,25.18,9.63,34.81,6.27,41.08
FEE70086,ORD10086,PAY70086,2026-04-04,148.61,56.82,205.43,36.98,242.41
FEE70087,ORD10087,PAY70087,2026-04-04,162.4,100.31,262.71,47.29,310.0
FEE70088,ORD10088,PAY70088,2026-04-04,77.79,48.05,125.84,22.65,148.49
FEE70089,ORD10089,PAY70089,2026-04-04,92.29,57.0,149.29,26.87,176.16
FEE70090,ORD10090,PAY70090,2026-04-04,44.03,30.82,74.85,13.47,88.32
FEE70092,ORD10092,PAY70092,2026-04-04,26.7,3.56,30.26,5.45,35.71
FEE70093,ORD10093,PAY70093,2026-04-04,119.04,15.87,134.91,24.28,159.19
FEE70094,ORD10094,PAY70094,2026-04-04,98.68,42.76,141.44,25.46,166.9
FEE70095,ORD10095,PAY70095,2026-04-04,85.24,36.94,122.18,21.99,144.17
FEE70096,ORD10096,PAY70096,2026-04-05,303.95,33.77,337.72,60.79,398.51
FEE70097,ORD10097,PAY70097,2026-04-05,191.87,111.93,303.8,54.68,358.48
FEE70098,ORD10098,PAY70098,2026-04-05,364.27,40.47,404.74,72.85,477.59
FEE70099,ORD10099,PAY70099,2026-04-05,65.08,7.23,72.31,13.02,85.33
FEE70100,ORD10100,PAY70100,2026-04-05,353.1,205.97,559.07,100.63,659.7
FEE70103,ORD10103,PAY70103,2026-04-05,326.01,36.22,362.23,65.2,427.43
FEE70104,ORD10104,PAY70104,2026-04-04,7.26,3.89,11.15,2.01,13.16
FEE70105,ORD10105,PAY70105,2026-04-04,24.44,13.09,37.53,6.76,44.29
FEE70106,ORD10106,PAY70106,2026-04-04,23.58,10.95,34.53,6.22,40.75
FEE70107,ORD10107,PAY70107,2026-04-04,44.28,6.33,50.61,9.11,59.72
FEE70108,ORD10108,PAY70108,2026-04-04,23.38,17.53,40.91,7.36,48.27
FEE70109,ORD10109,PAY70109,2026-04-05,78.59,29.47,108.06,19.45,127.51
FEE70110,ORD10110,PAY70110,2026-04-05,18.61,6.98,25.59,4.61,30.2
FEE70111,ORD10111,PAY70111,2026-04-05,122.91,12.29,135.2,24.34,159.54
FEE70112,ORD10112,PAY70112,2026-04-05,33.77,17.73,51.5,9.27,60.77
FEE70113,ORD10113,PAY70113,2026-04-05,153.21,49.79,203.0,36.54,239.54
FEE70116,ORD10116,PAY70116,2026-04-06,103.44,12.93,116.37,20.95,137.32
FEE70117,ORD10117,PAY70117,2026-04-06,132.06,16.51,148.57,26.74,175.31
FEE70118,ORD10118,PAY70118,2026-04-06,197.9,129.87,327.77,59.0,386.77
FEE70119,ORD10119,PAY70119,2026-04-06,272.69,127.82,400.51,72.09,472.6
FEE70120,ORD10120,PAY70120,2026-04-04,40.52,25.32,65.84,11.85,77.69
FEE70121,ORD10121,PAY70121,2026-04-04,67.66,59.2,126.86,22.83,149.69
FEE70122,ORD10122,PAY70122,2026-04-04,65.4,35.43,100.83,18.15,118.98
FEE70123,ORD10123,PAY70123,2026-04-04,58.94,9.82,68.76,12.38,81.14
FEE70124,ORD10124,PAY70124,2026-04-04,29.33,15.89,45.22,8.14,53.36
FEE70125,ORD10125,PAY70125,2026-04-04,16.29,10.18,26.47,4.76,31.23
FEE70126,ORD10126,PAY70126,2026-04-04,14.32,2.39,16.71,3.01,19.72
FEE70127,ORD10127,PAY70127,2026-04-04,5.82,0.97,6.79,1.22,8.01
FEE70128,ORD10128,PAY70128,2026-04-04,36.73,22.96,59.69,10.74,70.43
FEE70129,ORD10129,PAY70129,2026-04-06,389.99,35.45,425.44,76.58,502.02
FEE70130,ORD10130,PAY70130,2026-04-06,179.09,52.91,232.0,41.76,273.76
FEE70131,ORD10131,PAY70131,2026-04-06,168.68,80.5,249.18,44.85,294.03
FEE70132,ORD10132,PAY70132,2026-04-05,55.56,6.54,62.1,11.18,73.28
FEE70133,ORD10133,PAY70133,2026-04-05,111.33,13.1,124.43,22.4,146.83
FEE70134,ORD10134,PAY70134,2026-04-05,29.93,3.52,33.45,6.02,39.47
FEE70135,ORD10135,PAY70135,2026-04-05,103.24,12.15,115.39,20.77,136.16
FEE70136,ORD10136,PAY70136,2026-04-05,154.08,18.13,172.21,31.0,203.21
FEE70137,ORD10137,PAY70137,2026-04-05,139.65,61.61,201.26,36.23,237.49
FEE70138,ORD10138,PAY70138,2026-04-05,51.5,22.72,74.22,13.36,87.58
FEE70139,ORD10139,PAY70139,2026-04-05,158.48,18.64,177.12,31.88,209.0
FEE70140,ORD10140,PAY70140,2026-04-05,143.34,88.54,231.88,41.74,273.62
FEE70141,ORD10141,PAY70141,2026-04-05,136.99,18.27,155.26,27.95,183.21
FEE70142,ORD10142,PAY70142,2026-04-05,44.78,5.97,50.75,9.13,59.88
FEE70143,ORD10143,PAY70143,2026-04-05,111.14,14.82,125.96,22.67,148.63
FEE70144,ORD10144,PAY70144,2026-04-05,21.32,14.93,36.25,6.52,42.77
FEE70145,ORD10145,PAY70145,2026-04-05,59.57,41.7,101.27,18.23,119.5
FEE70146,ORD10146,PAY70146,2026-04-06,45.22,18.84,64.06,11.53,75.59
FEE70147,ORD10147,PAY70147,2026-04-06,344.38,38.26,382.64,68.88,451.52
FEE70148,ORD10148,PAY70148,2026-04-06,148.54,16.5,165.04,29.71,194.75
FEE70149,ORD10149,PAY70149,2026-04-06,225.83,25.09,250.92,45.17,296.09
FEE70151,ORD10151,PAY70151,2026-04-06,272.89,30.32,303.21,54.58,357.79
FEE70152,ORD10152,PAY70152,2026-04-06,109.96,64.14,174.1,31.34,205.44
FEE70153,ORD10153,PAY70153,2026-04-06,236.48,137.94,374.42,67.4,441.82
FEE70154,ORD10154,PAY70154,2026-04-06,363.63,40.4,404.03,72.73,476.76
FEE70155,ORD10155,PAY70155,2026-04-06,340.9,37.88,378.78,68.18,446.96
FEE70156,ORD10156,PAY70156,2026-04-05,27.89,3.98,31.87,5.74,37.61
FEE70157,ORD10157,PAY70157,2026-04-05,13.2,9.9,23.1,4.16,27.26
FEE70158,ORD10158,PAY70158,2026-04-05,16.61,7.71,24.32,4.38,28.7
FEE70159,ORD10159,PAY70159,2026-04-05,23.2,17.4,40.6,7.31,47.91
FEE70160,ORD10160,PAY70160,2026-04-05,41.09,30.82,71.91,12.94,84.85
FEE70161,ORD10161,PAY70161,2026-04-05,13.85,10.39,24.24,4.36,28.6
FEE70162,ORD10162,PAY70162,2026-04-05,10.13,7.6,17.73,3.19,20.92
FEE70163,ORD10163,PAY70163,2026-04-05,25.46,19.09,44.55,8.02,52.57
FEE70164,ORD10164,PAY70164,2026-04-06,34.35,3.43,37.78,6.8,44.58
FEE70165,ORD10165,PAY70165,2026-04-06,175.74,17.57,193.31,34.8,228.11
FEE70166,ORD10166,PAY70166,2026-04-06,23.75,2.37,26.12,4.7,30.82
FEE70169,ORD10169,PAY70169,2026-04-06,92.62,34.73,127.35,22.92,150.27
FEE70170,ORD10170,PAY70170,2026-04-06,132.86,49.82,182.68,32.88,215.56
